Percent Elevated Lead Cases,One race - White,One race - Black or African American,One race - American Indian and Alaska Native,One race - Asian,One race - Native Hawaiian and Other Pacific Islander,One race - Some other race,Two or more races,Hispanic or Latino origin (of any race),"White alone, not Hispanic or Latino",Median Income,Population for whom poverty status is determined - Below 100 percent of the poverty level
0.0,94.6,2.0,0.0,2.1,0.0,0.9,0.4,8.1,87.8,40637,10.9
0.5055555555555555,89.8,2.7,1.1,0.9,0.0,0.8,4.7,19.8,73.3,40523,7.0
0.5714285714285714,85.1,6.9,0.1,1.1,0.0,2.9,3.8,17.6,71.7,41904,4.5
5.16,86.7,0.0,0.4,12.9,0.0,0.0,0.0,9.9,76.8,43214,1.2
0.6900000000000001,92.1,1.4,0.2,2.7,0.1,0.3,3.3,2.0,91.1,41493,4.6
1.378181818181818,83.7,2.5,0.1,0.6,0.0,8.7,4.5,19.8,75.5,25915,18.1
1.96875,94.0,4.9,0.0,0.7,0.0,0.1,0.3,4.7,89.4,31240,9.2
0.0,98.4,0.0,1.4,0.0,0.0,0.0,0.2,2.7,97.1,43960,3.1
0.0,92.4,1.2,0.0,3.9,0.1,0.0,2.4,1.2,91.4,48712,3.2
1.96,95.1,1.1,0.5,1.9,0.0,0.1,1.3,3.0,92.3,38116,7.6
2.5254545454545454,99.7,0.0,0.0,0.0,0.0,0.0,0.3,0.0,99.7,31071,7.4
0.86,97.3,0.5,0.0,1.4,0.0,0.0,0.8,3.0,94.8,36800,4.9
0.0,97.0,0.8,1.2,0.3,0.0,0.5,0.3,1.3,96.2,31728,7.0
0.6461538461538462,97.1,0.6,0.0,1.5,0.0,0.0,0.9,1.8,95.3,43460,0.6
2.8579999999999997,97.7,0.0,0.0,1.0,0.0,0.0,1.4,3.7,94.0,37679,1.9
0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,95.1,17356,21.8
0.0,90.6,0.0,1.3,6.3,0.0,0.0,1.8,0.0,90.6,27702,5.6
3.45,95.6,1.5,0.0,0.5,0.2,0.9,1.4,3.0,93.1,38720,3.0
0.0,97.7,0.0,0.0,0.0,0.0,0.0,2.3,0.0,97.7,25448,23.8
4.0,91.9,5.1,0.0,1.3,0.0,0.8,0.9,1.2,91.4,32435,8.2
0.0,93.9,0.0,0.0,0.0,0.0,1.5,4.6,1.5,93.9,40000,0.9
0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,22292,9.7
0.0,92.2,4.6,0.4,0.8,0.1,0.4,1.5,3.3,90.1,22859,16.8
6.044999999999999,96.8,0.0,0.0,0.0,0.0,3.2,0.0,10.7,89.3,32586,0.0
2.3814285714285717,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,41607,0.0
33.33,87.8,4.5,0.5,2.5,0.0,0.6,4.1,4.3,85.0,30373,13.8
