Zip,Total Housing Units,% of housing units built 1950 - 1959,% built 1940 - 1949,% built 1939 or earlier,% of housing units built before 1950
11553,6699,38.8,26.3,15.4,41.7
11554,12872,55,9,6,15
11557,2895,42.1,12.3,16.1,28.4
11558,3139,32.5,7.1,17.9,25
11559,3009,20.8,8.8,27.9,36.7
11560,2495,23.9,6.5,42.2,48.7
11561,18592,19.8,9.9,26,35.9
11563,8432,16.3,11.8,44.6,56.4
11565,3305,22,23,40.9,63.9
11566,11680,34.2,13.6,18.6,32.2
11568,1124,17,4.3,15.5,19.8
11569,623,7.4,15.9,61.3,77.2
11570,10496,20.9,11.2,41,52.2
11572,10701,37.3,10.9,18.3,29.2
11575,4643,28.5,13.9,32,45.9
11576,4770,30.4,3.2,6.8,10
11577,4618,33.2,18.9,12.5,31.4
11579,2063,14.7,7,63.1,70.1
11580,13816,31.1,28.3,17.8,46.1
11581,7101,40.1,11.6,22.2,33.8
11590,14896,42.3,12.7,8.2,20.9
11596,3702,22.1,18.9,48.4,67.3
11598,4235,22.8,9.8,33.2,43
11691,21988,18.8,9.6,15.8,25.4
11692,7231,15.1,9.6,12.1,21.7
11693,5312,17.2,10.4,17.8,28.2
11694,9417,17.2,10.7,33.5,44.2
11697,2400,17,6.6,15.7,22.3
11701,9225,24.9,6.9,12.3,19.2
11702,5594,25.3,10,25.3,35.3
11703,5699,49.3,6.4,1.2,7.6
11704,13379,31.2,6.1,7.6,13.7
11705,2868,19.9,6.7,15.1,21.8
11706,21441,27,7.5,11.5,19
11709,2700,19.1,6.6,22.8,29.4
11710,11810,36.4,8.3,21.4,29.7
11713,3720,13.4,4.6,8.7,13.3
11714,8114,53,9.8,6.2,16
11715,1782,25.8,9,20,29
11716,3740,13,1.6,9.3,10.9
11717,14730,25.2,7.6,5.8,13.4
11718,1139,24.5,13.4,41.8,55.2
11719,1246,12.8,8.5,9.8,18.3
11720,9455,20.9,3.4,3.8,7.2
11721,2492,29.9,9.3,20.9,30.2
11722,10300,16.7,4.7,6.4,11.1
11724,1165,27,5.5,20.8,26.3
11725,10189,31.7,1.7,1.3,3
11726,6431,30.6,7.8,8.8,16.6
11727,12058,2.5,1.6,2.3,3.9
11729,9372,30.6,6.1,4.2,10.3
11730,4815,34.8,5.4,12.4,17.8
11731,10788,33.6,5.6,9.3,14.9
11732,1511,38.8,5.9,10.4,16.3
11733,6172,9,2.3,12,14.3
11735,12139,45.6,7.9,9.5,17.4
11738,5440,12.2,3,2.1,5.1
11739,340,18.8,6.5,16.5,23
11740,3565,29.8,7.3,10,17.3
11741,9578,4.8,2.4,3.2,5.6
11742,4730,11.5,1.9,2.6,4.5
11743,16644,29,6.6,20.5,27.1
11746,23009,26.5,7.8,7.3,15.1
11747,7847,20.3,2.3,1.3,3.6
11749,1109,4.3,3,3.2,6.2
11751,5404,21.2,5.7,21.3,27
11752,3229,21.5,2.7,12.9,15.6
11753,4465,38.4,0.9,0.9,1.8
11754,7212,17.2,5.7,5.7,11.4
11755,4312,11.3,4.2,4.9,9.1
11756,13836,51.4,38.7,2.5,41.2
11757,15678,38.4,10.5,11.4,21.9
11758,19767,54.8,8.8,7.3,16.1
11762,7745,71.7,6.2,2.7,8.9
11763,9863,5.4,3.1,3.8,6.9
11764,4613,12.4,3.1,4.2,7.3
11765,327,24.2,4.6,28.1,32.7
11766,4282,3.3,5.8,4.2,10
11767,5261,10.2,5,8.2,13.2
11768,8679,20,8.3,19.8,28.1
11769,4005,23,4.4,7.5,11.9
11770,1230,11.1,10,30.8,40.8
11771,4158,13.9,7.1,35.4,42.5
11772,18270,16.5,5.4,14.7,20.1
11776,8438,7.7,1.7,6.7,8.4
11777,3735,12.9,2.6,21.4,24
11778,4854,14.6,8.7,10.5,19.2
11779,13186,17.8,6.1,7.1,13.2
11780,5974,14.1,2.1,10.8,12.9
11782,6729,15.8,3.8,18.2,22
11783,7169,54.9,6,9.5,15.5
11784,8505,11.7,3.9,3.9,7.8
11786,2008,13.5,0.9,4.5,5.4
11787,12754,19.3,3.8,3.2,7
11788,6050,10,2.3,2.4,4.7
11789,3153,21.7,15.7,9.8,25.5
11790,4920,14,3.9,6.7,10.6
11791,8624,50.8,4.3,5.9,10.2
11792,3282,16.6,1.1,8.3,9.4
11793,10752,60.2,12.6,6.9,19.5
11795,8170,45.7,5.4,5,10.4
11796,1216,35.2,9.2,19.3,28.5
11797,3276,13.4,2,2.3,4.3
11798,4165,16.2,9.6,3.3,12.9
11801,13358,59.2,16.8,9.1,25.9
11803,10065,60,3.8,2.4,6.2
11804,1767,49.5,0.5,1.4,1.9
11901,11963,15.2,4.4,8.9,13.3
11930,2455,12.4,1.3,12.9,14.2
11931,97,0,0,0,0
11932,2241,5.3,3.5,19.4,22.9
11933,3725,4,1.2,5.1,6.3
11934,2776,9.3,2.1,19.8,21.9
11935,2147,11.9,3,16.2,19.2
11937,13010,7.4,2.8,12.7,15.5
11939,1078,11.3,5,16,21
11940,2176,7.6,0.4,13,13.4
11941,832,13.6,2.4,13.1,15.5
11942,3007,15.2,1.5,8.5,10
11944,2730,8.4,6.4,38.1,44.5
11946,8608,14.6,3.4,8.9,12.3
