,Percent Elevated Lead Cases,One race - White,One race - Black or African American,One race - American Indian and Alaska Native,One race - Asian,One race - Native Hawaiian and Other Pacific Islander,One race - Some other race,Two or more races,Hispanic or Latino origin (of any race),"White alone, not Hispanic or Latino",Median Income,Population for whom poverty status is determined - Below 100 percent of the poverty level,Total Housing Units,% of housing units built 1950 - 1959,% built 1940 - 1949,% built 1939 or earlier,% of housing units built before 1950
12937,4.166,70.9,4.8,14.8,0.2,0.0,0.9,8.4,1.3,69.8,24668,16.7,805,9.2,3.6,32.3,35.9
12939,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,37750,13.3,121,24.0,2.5,43.0,45.5
12941,0.0,98.6,0.6,0.2,0.2,0.0,0.0,0.5,0.2,98.6,32200,2.8,960,0.9,0.5,21.6,22.1
12944,0.2026315789473684,94.8,1.2,0.2,1.1,0.0,0.6,2.1,2.8,93.1,22638,15.2,2205,13.2,4.7,31.0,35.7
12945,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,29375,14.5,587,5.5,1.0,50.1,51.1
12946,0.455,91.7,2.5,0.2,0.7,0.0,1.6,3.3,5.9,90.6,28398,8.3,3636,4.6,11.4,24.3,35.7
12950,0.0,87.9,5.0,0.4,0.4,0.0,2.1,4.3,3.6,87.0,28333,4.0,418,8.6,1.0,31.3,32.3
12952,0.0,62.9,34.2,0.3,2.6,0.0,0.0,0.0,0.5,62.4,16538,45.1,343,17.8,4.4,48.4,52.8
12953,0.0,77.9,15.3,0.4,0.4,0.0,4.3,1.7,6.5,76.7,25208,22.6,5644,9.9,5.2,36.6,41.8
12956,2.08375,90.4,6.7,0.5,0.0,0.0,2.4,0.0,2.4,90.4,20063,12.3,491,5.3,18.9,37.5,56.4
12957,1.1907142857142858,98.7,0.0,0.9,0.0,0.0,0.0,0.4,0.0,98.7,22725,37.8,783,11.9,0.0,23.8,23.8
12958,0.9838461538461538,96.6,0.0,0.0,0.0,0.0,1.9,1.5,4.0,95.8,32317,13.1,1014,3.7,0.0,24.7,24.7
12959,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,99.3,25810,22.6,737,2.3,0.0,24.2,24.2
12960,0.0,97.5,0.2,0.0,0.0,0.0,0.0,2.4,0.0,97.5,32117,4.5,565,8.0,12.9,41.9,54.8
12961,0.0,86.4,0.0,0.0,0.0,0.0,7.1,6.5,13.6,86.4,25069,28.9,148,8.1,12.2,48.0,60.2
12962,0.0,94.9,1.1,0.4,2.4,0.0,0.1,1.1,1.3,94.4,39638,8.1,2433,10.3,3.3,9.7,13.0
12965,0.0,98.6,0.0,0.0,1.4,0.0,0.0,0.0,0.5,98.0,22500,7.0,218,7.3,1.8,56.4,58.2
12966,0.32083333333333336,97.4,0.0,2.3,0.0,0.0,0.1,0.2,0.3,97.1,21135,24.4,1275,5.7,3.3,29.5,32.8
12967,0.0,96.5,0.2,0.5,0.0,0.0,0.4,2.3,4.5,93.9,22412,34.4,445,8.1,1.1,26.7,27.8
12972,0.0,98.9,0.4,0.0,0.0,0.0,0.3,0.4,0.7,98.6,31438,3.0,2423,11.5,2.0,11.5,13.5
12974,3.571428571428572,95.6,0.5,0.3,0.0,0.0,0.2,3.4,3.6,94.4,25643,11.3,854,11.2,12.3,47.7,60.0
12978,0.0,93.8,0.0,0.0,0.0,0.0,6.2,0.0,6.2,93.8,23533,44.8,144,4.9,0.0,40.3,40.3
12979,0.7775,97.3,0.7,0.0,1.0,0.1,0.0,0.8,0.8,96.8,30646,13.5,1057,8.1,6.0,30.3,36.3
12980,0.0,98.9,0.0,0.2,0.0,0.0,0.3,0.6,2.2,97.2,23370,24.4,1272,11.2,8.3,27.4,35.7
12981,1.0207142857142857,99.2,0.0,0.0,0.8,0.0,0.0,0.0,1.3,97.9,32097,13.4,1180,1.3,1.4,28.1,29.5
12983,0.3076923076923077,94.9,2.7,0.6,0.2,0.0,0.7,0.9,1.0,94.6,32818,15.5,5014,5.8,5.5,47.9,53.4
12985,1.6825,94.7,0.1,1.2,0.0,0.0,0.0,4.0,4.7,90.0,19677,29.1,626,0.0,0.6,25.6,26.2
12986,0.0,94.7,1.6,0.1,0.5,0.0,1.6,1.5,2.8,93.6,30472,10.7,3836,9.4,11.9,33.2,45.1
12989,0.0,93.1,0.0,0.0,4.3,0.7,0.0,1.8,1.0,92.8,35500,10.6,824,11.7,7.2,25.2,32.4
12992,0.0,98.5,0.1,0.0,1.0,0.0,0.0,0.3,0.5,98.0,32733,14.9,2304,5.3,1.3,20.6,21.9
12993,1.4289999999999998,96.1,1.4,0.0,0.1,0.0,0.0,2.5,0.0,96.1,26458,12.0,1200,10.9,4.7,43.5,48.2
12996,0.0,95.6,0.0,0.0,0.5,0.0,1.6,2.3,1.9,95.0,24478,8.8,1700,12.2,7.7,29.8,37.5
12997,0.0,95.5,0.1,0.0,0.2,0.1,0.1,4.0,4.0,92.7,28698,8.8,787,6.7,7.2,27.7,34.9
12998,2.5,82.3,0.0,0.0,3.3,0.0,0.0,14.4,0.0,82.3,31985,0.0,219,0.0,12.3,74.9,87.2
13021,0.0,91.7,4.1,0.3,0.6,0.0,0.3,3.0,2.0,90.4,28057,13.2,18716,13.2,7.1,44.2,51.3
13026,0.0,83.4,2.8,0.0,1.1,0.0,6.6,6.1,12.6,80.2,26146,10.2,870,5.7,0.7,40.3,41.0
13028,0.0,98.2,0.0,0.0,0.0,0.0,0.0,1.8,0.0,98.2,31417,2.4,919,9.7,8.6,28.7,37.3
13029,4.55,95.0,0.3,0.2,2.5,0.0,0.0,2.0,1.5,93.5,36674,9.4,3134,13.8,3.2,9.1,12.3
13030,0.3448275862068966,99.3,0.0,0.0,0.3,0.0,0.3,0.2,3.5,96.0,34823,14.7,1786,19.3,9.8,17.9,27.7
13032,0.0,97.0,0.2,0.0,0.3,0.0,0.0,2.4,0.2,96.8,29732,9.1,5712,10.3,3.0,32.9,35.9
13033,0.5681818181818182,95.9,1.3,0.5,0.0,0.0,1.2,1.1,0.7,95.5,31458,7.3,1682,2.1,1.2,39.6,40.8
13034,0.51,98.0,1.0,0.3,0.2,0.0,0.1,0.5,0.7,97.5,31483,3.6,1119,10.9,3.7,31.1,34.8
13036,2.54,97.2,0.9,0.4,0.2,0.0,0.3,0.9,0.7,97.1,27854,12.1,3970,5.7,5.7,16.8,22.5
13037,0.0,97.2,0.8,0.3,0.2,0.0,0.7,0.7,2.2,96.0,35739,7.5,3697,14.3,3.2,21.9,25.1
13040,0.0,96.7,0.8,0.4,0.2,0.0,0.8,1.1,3.2,94.4,26926,12.5,1369,5.0,2.4,36.3,38.7
13042,0.8009999999999999,99.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,99.5,24574,27.1,1307,2.7,0.8,33.6,34.4
13044,0.44466666666666665,98.4,0.0,0.0,0.0,0.0,0.0,1.6,0.0,98.4,37159,5.6,1115,5.4,8.8,17.0,25.8
13045,8.335,93.7,2.5,0.1,0.9,0.0,0.7,2.1,3.0,91.3,22800,18.1,12226,10.8,4.8,48.5,53.3
13052,0.7692307692307693,91.0,6.7,0.5,0.9,0.0,0.0,1.0,0.7,90.5,29323,15.8,1081,5.7,5.9,40.9,46.8
13053,0.0,93.7,3.3,0.1,1.0,0.0,0.1,1.8,5.0,90.4,29770,10.0,1899,5.2,1.8,21.5,23.3
13054,0.4633333333333333,98.4,0.0,0.0,0.0,0.0,0.0,1.6,0.0,98.4,31649,36.1,595,23.7,0.0,28.2,28.2
13060,0.0,96.0,0.5,0.5,0.4,0.0,0.7,1.8,2.2,95.1,30665,12.4,1201,11.9,2.3,24.0,26.3
13061,0.0,97.6,0.0,1.3,0.0,0.0,1.2,0.0,1.2,97.6,35875,7.4,745,12.5,3.5,30.2,33.7
13063,0.8153333333333334,89.8,0.2,1.0,0.6,0.0,8.3,0.1,12.5,85.5,30528,2.5,684,4.1,0.9,35.2,36.1
13069,0.0,96.7,0.3,0.2,0.1,0.0,1.0,1.6,3.6,94.4,24578,22.8,10463,9.5,5.9,36.2,42.1
13071,0.0,99.5,0.0,0.1,0.0,0.0,0.0,0.4,0.0,99.5,31016,7.6,414,3.1,1.4,51.2,52.6
13072,7.74,99.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7,98.4,24250,13.7,418,5.7,1.0,37.6,38.6
13073,0.0,93.6,1.1,0.1,2.4,0.0,0.2,2.6,3.2,91.0,28379,12.3,2864,3.6,2.9,44.6,47.5
13074,0.6900000000000001,97.1,0.9,0.0,0.3,0.0,0.1,1.6,1.4,96.3,24507,16.2,1725,5.2,4.7,25.9,30.6
13076,0.0,95.7,0.0,0.5,1.8,0.0,0.0,2.0,0.5,95.7,31327,11.8,957,1.7,2.0,10.7,12.7
13077,0.0,95.1,0.6,0.0,1.3,0.1,0.6,2.2,1.8,95.0,31036,8.6,2973,7.6,5.4,47.5,52.9
13080,0.0,96.0,0.1,0.1,0.6,0.0,0.9,2.3,2.2,96.0,28250,6.2,1699,7.8,3.3,36.7,40.0
13081,1.1908333333333332,98.5,0.0,0.8,0.0,0.0,0.0,0.7,1.2,97.7,33897,11.6,680,13.1,7.1,36.6,43.7
13082,0.5710714285714286,98.4,0.1,0.9,0.0,0.0,0.0,0.6,0.3,98.1,31591,8.6,1980,8.4,3.9,19.2,23.1
13083,0.9521428571428572,97.3,0.1,0.3,0.7,0.0,0.1,1.5,1.0,96.7,26604,16.7,803,7.0,3.0,34.0,37.0
13084,0.0,93.6,3.6,1.3,0.1,0.0,0.0,1.4,0.4,93.5,34865,11.8,1704,7.7,1.9,18.9,20.8
13090,0.0,87.7,6.1,0.2,2.2,0.0,0.2,3.5,2.9,85.4,37196,8.7,12642,5.4,1.2,2.5,3.7
13092,0.2846153846153846,98.0,0.2,0.1,0.0,0.0,1.6,0.1,5.8,93.8,30684,10.1,1039,2.7,1.1,24.6,25.7
13101,1.2999999999999998,97.1,0.5,0.0,0.0,0.0,0.5,1.9,2.8,94.8,31094,8.2,1039,7.3,3.6,49.1,52.7
13103,0.0,95.0,4.1,0.0,0.0,0.0,0.0,0.9,0.0,95.0,35265,36.3,128,0.0,0.0,17.2,17.2
13108,0.0,97.3,0.6,0.1,1.1,0.0,0.0,0.9,0.6,96.8,35198,3.4,2557,9.6,3.5,28.4,31.9
13110,1.9842857142857144,97.6,0.0,0.2,0.4,0.0,0.0,1.8,3.4,94.4,38085,6.0,1198,9.3,9.1,20.0,29.1
13111,1.1793333333333331,99.3,0.0,0.0,0.0,0.0,0.0,0.7,0.0,99.3,17939,33.1,651,1.2,2.8,20.3,23.1
13112,1.1960000000000002,99.7,0.3,0.0,0.0,0.0,0.0,0.0,0.0,99.7,30787,18.2,772,7.0,11.9,29.1,41.0
13114,0.0,96.1,0.6,0.0,0.7,0.0,0.4,2.1,0.6,96.0,27388,17.2,2871,3.4,1.1,28.4,29.5
13115,0.0,99.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,99.4,29000,31.4,112,5.4,0.0,61.6,61.6
13116,1.375,92.4,3.3,0.0,0.0,0.0,0.0,4.3,1.9,90.5,31909,2.6,1480,15.3,5.3,14.9,20.2
13118,0.695,88.0,7.9,0.2,0.3,0.0,1.0,2.6,2.4,87.0,29580,11.2,2910,5.6,3.6,36.4,40.0
13120,2.4033333333333333,66.2,18.7,7.2,5.4,0.0,0.0,2.5,4.2,62.0,25698,12.7,840,23.2,16.0,39.3,55.3
13122,1.1908333333333332,99.7,0.3,0.0,0.0,0.0,0.0,0.0,0.0,99.7,29375,5.9,472,2.1,6.6,38.6,45.2
13123,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,33512,0.0,165,0.0,41.2,38.8,80.0
13126,0.0,92.7,2.4,0.2,1.5,0.0,1.1,2.1,4.3,90.5,21199,20.6,15654,8.1,4.5,37.3,41.8
13131,0.0,97.2,0.1,0.0,0.4,0.0,0.0,2.3,0.7,96.5,24340,14.5,1589,2.5,2.4,26.6,29.0
13132,0.6941666666666667,95.6,0.2,0.0,1.2,0.0,0.0,3.0,0.3,95.3,35103,11.5,1702,11.1,3.5,13.3,16.8
13135,0.5882352941176471,96.5,0.1,0.1,0.6,0.0,0.0,2.7,2.7,94.8,28141,14.7,2861,7.0,4.9,29.7,34.6
13136,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,98.2,26250,11.3,282,0.0,0.0,34.0,34.0
13140,1.711666666666667,96.8,0.6,0.0,0.4,0.0,0.4,1.8,2.1,95.3,25274,10.6,2045,7.7,5.0,29.5,34.5
13141,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,25347,21.2,319,5.0,6.0,40.8,46.8
13143,1.15625,95.4,3.6,0.4,0.0,0.0,0.6,0.0,2.3,93.9,26106,9.9,1305,1.7,3.1,36.1,39.2
13144,0.42,95.7,1.6,0.1,0.0,0.0,2.0,0.6,4.2,93.7,22196,26.9,933,5.3,0.0,26.2,26.2
13145,1.6414285714285712,99.4,0.3,0.0,0.0,0.1,0.0,0.2,0.8,98.8,27517,11.8,1196,10.8,6.7,21.2,27.9
13146,0.9592857142857144,94.3,0.8,0.9,0.4,0.0,0.4,3.2,3.4,92.4,25668,9.8,954,5.0,4.7,40.1,44.8
13147,1.2990909090909093,97.5,0.7,0.0,0.0,0.0,1.3,0.5,7.9,91.4,29306,9.7,526,3.6,4.8,56.1,60.9
13148,8.335,94.1,1.9,0.1,1.6,0.0,0.2,2.0,1.8,92.5,27032,11.9,5105,11.3,5.3,41.0,46.3
13152,0.0,98.0,0.1,0.3,0.6,0.2,0.1,0.7,0.9,97.5,42348,4.0,4695,11.1,4.7,31.4,36.1
13153,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,25366,5.8,155,0.0,27.1,34.2,61.3
13155,0.0,95.9,0.0,1.1,0.0,0.0,0.0,3.0,3.6,95.0,26071,10.9,376,3.5,0.0,45.5,45.5
13156,1.71,98.7,0.0,0.0,0.2,0.0,0.4,0.6,0.4,98.7,34095,12.2,1283,7.3,10.2,29.9,40.1
13157,0.0,92.2,2.6,0.0,0.0,0.0,0.0,5.2,0.0,92.2,21797,5.4,741,6.7,15.1,36.4,51.5
13158,1.625,98.3,0.0,0.0,0.0,0.0,0.1,1.6,1.2,97.2,28545,14.0,749,2.7,3.2,31.4,34.6
13159,0.0,96.9,0.5,0.8,0.6,0.0,0.3,0.8,1.5,95.6,31832,7.8,2183,3.9,2.2,28.1,30.3
13160,0.7142857142857143,87.7,0.6,0.2,0.9,0.0,1.6,9.0,10.0,84.6,30853,12.3,970,3.8,6.2,42.1,48.3
13163,0.0,99.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,99.0,32396,22.5,160,26.3,6.9,22.5,29.4
13164,1.3122222222222222,94.4,0.0,0.0,3.6,0.0,0.2,1.8,1.8,92.8,41192,11.8,873,10.7,9.6,25.5,35.1
13165,0.0,96.3,1.1,0.1,0.2,0.0,0.1,2.2,2.8,93.6,26777,13.9,4838,16.3,3.7,31.4,35.1
13166,0.6416666666666667,97.3,0.4,0.2,0.9,0.0,0.0,1.2,0.6,96.7,30340,6.7,2359,5.3,4.1,32.4,36.5
13167,0.29615384615384616,97.9,0.0,0.0,0.0,0.0,0.3,1.8,0.3,97.9,29006,17.3,1440,5.1,0.8,13.9,14.7
13202,12.0,33.6,51.4,0.5,5.9,0.0,3.2,5.5,11.4,28.1,13309,59.1,2760,13.8,12.1,27.8,39.9
13211,6.25,86.0,7.0,1.0,1.2,0.0,0.4,4.3,7.3,81.8,25579,20.6,2797,38.8,17.1,22.2,39.3
13302,0.44466666666666665,96.3,0.1,0.1,0.7,0.0,0.2,2.7,1.1,95.5,24085,18.9,971,6.2,2.2,19.2,21.4
13303,1.0,99.4,0.0,0.0,0.0,0.0,0.1,0.5,0.2,99.3,32147,7.5,550,11.5,3.1,20.4,23.5
13304,1.4285714285714286,96.1,0.0,0.0,0.5,0.0,0.0,3.3,0.3,95.9,35403,12.8,779,18.4,2.8,35.9,38.7
13305,9.09,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,26691,0.0,128,0.0,18.0,23.4,41.4
13308,0.7328571428571429,98.8,0.2,0.5,0.0,0.0,0.0,0.5,0.4,98.4,26998,15.8,1402,6.6,5.7,24.4,30.1
13309,0.8888888888888888,97.2,0.2,0.1,0.7,0.1,0.2,1.4,1.5,96.5,26148,14.8,2782,7.7,2.4,30.4,32.8
13313,1.13625,97.7,0.0,0.0,0.0,0.0,0.4,1.9,7.3,90.8,26000,25.9,241,2.1,2.9,46.1,49.0
13314,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,27857,21.0,216,5.6,1.4,49.5,50.9
13315,0.9090909090909092,99.2,0.0,0.0,0.2,0.0,0.0,0.6,1.0,98.3,26231,15.4,722,2.9,3.0,44.3,47.3
13316,7.14,97.2,0.8,0.0,0.4,0.0,0.1,1.5,0.8,96.6,26196,11.8,3094,6.1,2.7,31.9,34.6
13317,1.7533333333333332,94.6,1.6,0.1,0.4,0.0,0.3,3.0,2.8,91.7,24853,20.8,1675,10.0,4.8,58.4,63.2
13318,0.8333333333333334,99.1,0.0,0.2,0.0,0.0,0.0,0.8,0.2,98.8,32917,6.2,497,0.6,1.6,20.5,22.1
13319,1.19,100.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,94.6,20192,14.5,350,5.7,5.1,35.7,40.8
13320,0.4276923076923077,98.3,0.2,0.0,0.6,0.0,0.0,0.9,0.7,97.7,26967,12.2,1139,4.2,1.7,44.8,46.5
13321,3.4854545454545462,98.7,0.0,0.0,0.0,0.0,0.0,1.3,3.9,96.1,26859,25.9,516,7.4,5.8,48.8,54.6
13322,4.2718181818181815,98.4,0.9,0.0,0.0,0.0,0.0,0.7,1.0,97.4,26991,13.1,598,3.8,0.3,52.7,53.0
13324,1.1533333333333329,98.5,0.4,0.1,0.2,0.0,0.2,0.6,1.0,98.0,23606,16.9,1486,8.2,3.1,25.7,28.8
13325,2.856666666666667,98.2,0.0,0.0,0.0,0.0,0.6,1.2,1.5,97.3,22300,12.5,678,3.5,3.7,35.5,39.2
13326,0.8625,92.6,1.6,0.3,3.1,0.0,0.4,2.0,1.8,91.2,30105,10.9,3605,3.2,1.8,51.4,53.2
13327,0.8926666666666667,95.8,1.4,0.1,0.6,0.0,0.8,1.4,1.8,95.8,22813,12.0,1207,7.0,9.0,27.4,36.4
13328,1.1908333333333332,99.1,0.3,0.0,0.5,0.0,0.0,0.0,0.4,98.7,33651,10.9,579,7.8,0.9,42.3,43.2
13329,2.251875,98.0,0.6,0.5,0.0,0.0,0.1,0.7,1.2,97.0,24895,16.9,1939,8.9,7.1,46.0,53.1
13332,3.076363636363636,95.9,1.2,0.6,0.1,0.0,1.2,1.0,0.8,95.7,29148,13.0,1220,3.9,2.6,58.4,61.0
13334,1.5313333333333332,99.8,0.0,0.0,0.0,0.0,0.0,0.2,0.0,99.8,36139,7.0,756,2.5,7.8,48.4,56.2
13335,1.7014285714285713,96.2,2.4,0.0,0.8,0.0,0.3,0.3,1.7,94.9,28955,8.4,717,5.0,3.6,39.5,43.1
13337,2.679,93.9,0.0,0.0,4.2,0.0,0.0,1.8,2.8,91.1,28438,13.4,361,2.2,0.0,54.0,54.0
13338,2.3807142857142862,96.8,1.0,0.0,0.0,0.0,0.3,1.9,0.0,96.8,28243,14.8,1556,4.8,5.7,29.2,34.9
13339,0.0,94.3,0.0,0.0,1.1,0.0,2.1,2.6,2.8,93.6,25769,18.3,2940,6.6,8.9,41.5,50.4
13343,0.39666666666666667,99.9,0.1,0.0,0.0,0.0,0.0,0.0,0.5,99.4,29272,10.8,1286,10.0,5.2,22.9,28.1
13346,0.0,85.2,5.4,0.2,4.6,0.0,0.2,4.4,5.6,81.3,16984,10.7,2287,9.9,5.6,37.8,43.4
13348,4.846153846153847,97.9,0.6,0.0,0.9,0.0,0.0,0.7,0.0,97.9,31919,9.7,723,1.7,7.7,45.0,52.7
13354,0.6541666666666667,99.2,0.0,0.0,0.1,0.0,0.0,0.7,0.5,98.7,35882,2.5,1479,13.7,1.8,25.1,26.9
13355,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,26172,5.6,392,1.8,0.0,61.0,61.0
13361,0.0,96.7,0.3,0.0,1.9,0.0,0.4,0.7,2.8,95.8,28796,5.9,378,6.3,0.5,46.6,47.1
13363,1.06875,99.2,0.8,0.0,0.0,0.0,0.0,0.0,2.1,97.1,37211,7.4,1037,9.9,4.9,15.9,20.8
13364,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,30500,5.9,124,4.0,0.0,87.9,87.9
13367,2.228,95.0,1.2,0.2,0.8,0.3,1.2,1.2,2.4,94.1,29454,16.4,4122,6.0,5.5,37.7,43.2
13368,2.7175,95.6,1.2,0.0,0.0,0.0,0.5,2.7,2.4,93.2,29455,15.3,609,7.9,3.6,41.5,45.1
13402,0.0,98.4,0.2,1.1,0.1,0.0,0.0,0.2,0.9,97.7,25507,19.9,957,3.3,0.7,34.7,35.4
13403,0.3083333333333333,79.5,13.7,0.2,0.5,0.0,3.1,3.0,10.2,73.9,27931,8.1,1801,15.7,3.5,14.8,18.3
13404,0.0,97.1,0.0,2.9,0.0,0.0,0.0,0.0,0.0,97.1,19896,23.8,77,0.0,6.5,36.4,42.9
13406,0.0,97.0,0.0,0.0,0.4,0.0,0.0,2.5,0.0,97.0,27083,7.5,332,6.0,5.4,50.3,55.7
13408,0.9892857142857142,82.7,11.1,0.6,2.3,0.0,0.8,2.6,5.5,80.5,14932,10.8,1199,3.9,1.4,36.2,37.6
13409,0.6257142857142857,92.3,1.3,0.8,0.1,0.0,0.7,4.9,2.2,92.3,27853,9.0,1062,3.8,1.3,44.2,45.5
13410,32.145,99.7,0.0,0.0,0.0,0.0,0.0,0.3,0.0,99.7,29167,13.8,107,9.3,5.6,83.2,88.8
13411,1.6681818181818182,97.6,0.0,0.2,0.9,0.0,0.0,1.3,1.0,96.9,23429,13.8,1687,5.6,4.2,41.6,45.8
13416,0.8613333333333333,96.6,1.3,0.0,0.0,0.0,0.1,2.0,0.5,96.2,30618,8.9,1059,4.5,0.3,34.6,34.9
13417,4.2090000000000005,93.9,0.5,0.0,3.1,0.0,0.0,2.5,0.0,93.9,27738,15.4,1911,22.6,5.9,42.3,48.2
13420,0.0,95.4,3.4,0.0,0.0,0.0,1.2,0.0,11.8,84.8,32250,8.2,2921,7.9,7.9,26.4,34.3
13421,4.0280000000000005,94.6,1.4,1.9,0.4,0.3,0.0,1.2,2.7,92.2,27481,17.3,6251,10.2,4.5,50.8,55.3
13424,3.1078571428571427,87.1,5.3,0.4,0.0,0.0,0.0,7.1,2.5,85.0,26616,7.1,1036,12.6,4.3,38.3,42.6
13425,2.002,95.1,1.7,0.0,0.0,0.0,2.7,0.6,3.0,94.8,28018,20.4,967,5.9,0.0,48.0,48.0
13428,0.0,95.9,0.3,0.0,2.4,0.0,0.6,0.8,2.3,94.2,24609,26.1,744,5.2,3.8,28.8,32.6
13431,0.6486666666666667,90.7,0.8,3.0,0.0,0.0,0.1,5.4,2.1,90.2,31250,10.9,803,6.4,4.9,29.5,34.4
13433,2.0335714285714284,97.9,0.6,0.9,0.0,0.0,0.0,0.6,0.8,97.4,24595,16.6,822,5.8,6.8,36.9,43.7
13437,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,26193,11.0,702,8.3,3.7,16.1,19.8
13438,1.6566666666666665,98.8,0.5,0.0,0.2,0.0,0.1,0.5,1.9,97.0,28281,11.4,2118,8.9,2.7,26.5,29.2
13439,1.67125,97.0,1.0,0.3,0.8,0.0,0.1,0.8,0.8,96.5,25744,12.6,2433,3.3,4.4,48.5,52.9
13452,2.081428571428572,97.7,0.7,0.0,0.5,0.0,0.6,0.6,1.4,97.0,22809,20.6,2113,7.1,6.6,41.3,47.9
13454,0.0,98.0,0.5,0.0,1.6,0.0,0.0,0.0,0.0,98.0,23125,5.1,436,5.0,0.9,31.0,31.9
13456,0.9333333333333332,93.8,2.0,0.3,1.8,0.0,0.1,2.1,2.2,92.3,30767,6.8,1735,10.4,3.0,25.0,28.0
13459,2.39,95.9,0.0,0.0,3.1,0.0,0.0,0.9,3.3,92.6,27300,13.9,1150,7.7,2.6,44.1,46.7
13460,1.112,96.1,1.2,0.0,0.2,0.0,0.0,2.6,1.6,94.4,23100,12.7,2032,6.5,0.8,34.0,34.8
13461,0.8453333333333333,97.9,1.8,0.0,0.0,0.0,0.2,0.1,3.4,95.2,30320,8.2,1277,17.1,7.8,41.2,49.0
13464,0.595,96.7,1.1,0.3,1.1,0.0,0.5,0.4,1.1,96.0,21250,20.4,655,4.4,3.2,36.6,39.8
13468,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,98.8,33984,10.5,194,0.0,6.7,41.2,47.9
13469,1.111,99.1,0.9,0.0,0.0,0.0,0.0,0.0,0.0,99.1,39271,0.0,364,22.5,0.0,39.8,39.8
13470,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,97.3,27708,16.2,686,4.1,6.4,23.5,29.9
13471,1.67,94.6,1.3,0.0,0.4,0.0,0.5,3.2,2.4,94.3,26242,18.6,1466,10.0,2.7,12.4,15.1
13473,3.4840000000000004,96.7,0.0,0.0,0.0,0.0,1.6,1.8,4.9,95.1,31250,4.4,427,4.7,1.6,40.7,42.3
13476,1.0807692307692307,95.7,1.7,0.3,1.4,0.0,0.0,1.0,5.0,91.1,35586,8.0,1445,6.0,2.4,30.8,33.2
13477,0.0,98.8,1.2,0.0,0.0,0.0,0.0,0.0,0.0,98.8,29464,8.8,728,1.5,0.0,29.8,29.8
13478,0.5475,98.3,0.4,0.0,0.0,0.0,0.7,0.6,0.7,98.3,31335,8.3,1248,17.7,5.1,17.7,22.8
13480,4.285833333333333,98.4,0.5,0.0,0.3,0.0,0.1,0.7,1.3,97.9,29375,10.1,1559,5.9,5.1,52.9,58.0
13485,2.041428571428572,98.2,0.5,0.0,0.0,0.0,0.0,1.3,0.4,98.2,22731,15.6,539,3.0,2.2,27.6,29.8
13486,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,30240,11.3,379,10.0,3.2,37.2,40.4
13488,0.0,89.6,0.0,0.0,1.3,0.0,0.0,9.1,0.0,89.6,28125,3.9,100,0.0,0.0,31.0,31.0
13489,2.08375,94.3,1.1,0.0,4.6,0.0,0.0,0.0,0.0,94.3,27083,11.5,351,10.0,0.9,26.5,27.4
13490,1.5553333333333332,87.6,0.0,0.0,4.7,0.0,0.0,7.7,0.9,86.7,35714,5.8,666,2.1,1.1,26.7,27.8
13491,1.8124,94.8,0.5,0.1,1.3,0.1,0.0,3.2,1.6,94.5,26754,13.0,1571,3.8,4.5,36.0,40.5
13493,0.3475,96.9,0.1,0.2,0.1,0.0,0.6,2.1,0.8,96.9,23630,14.9,892,3.8,1.9,13.2,15.1
13495,2.256666666666667,96.0,1.4,0.0,1.3,0.0,0.0,1.3,7.1,89.6,25114,12.0,905,23.8,18.7,40.4,59.1
13501,0.0,58.7,14.7,0.3,17.1,0.1,4.8,4.4,12.4,52.6,19096,33.0,17137,12.3,7.1,59.6,66.7
13502,1.5,78.3,13.0,0.3,2.6,0.0,2.0,3.8,9.0,73.7,23771,19.6,14789,18.1,7.4,42.6,50.0
13601,0.0,83.9,6.3,0.8,2.5,0.1,1.1,5.3,6.7,80.1,24996,20.2,17783,8.8,5.1,44.6,49.7
13602,0.0,66.9,15.1,1.7,2.1,0.6,6.4,7.3,22.5,55.3,22109,29.0,123,0.0,21.1,0.0,21.1
