,Percent Elevated Lead Cases,One race - White,One race - Black or African American,One race - American Indian and Alaska Native,One race - Asian,One race - Native Hawaiian and Other Pacific Islander,One race - Some other race,Two or more races,Hispanic or Latino origin (of any race),"White alone, not Hispanic or Latino",Median Income,Population for whom poverty status is determined - Below 100 percent of the poverty level,Total Housing Units,% of housing units built 1950 - 1959,% built 1940 - 1949,% built 1939 or earlier,% of housing units built before 1950
11377,0.0,48.5,2.4,0.3,37.9,0.0,7.6,3.3,38.7,19.5,28908,13.5,33979,16.4,12.4,36.7,49.1
11378,0.0,74.0,1.4,0.3,11.1,0.1,10.5,2.6,31.3,54.9,33158,9.4,13833,16.0,12.7,46.5,59.2
11413,0.0,2.2,91.7,0.2,1.3,0.2,2.7,1.6,5.6,1.4,33540,7.7,12866,24.2,15.5,30.6,46.1
11418,0.0,39.7,7.5,0.8,26.1,0.0,20.6,5.2,45.0,15.5,27722,15.2,11842,10.5,11.8,58.5,70.3
11419,0.0,10.5,17.2,1.0,29.7,0.0,35.6,6.1,20.5,3.9,25179,14.7,13512,11.2,13.6,58.2,71.8
11423,14.29,13.3,37.5,1.1,29.6,0.0,14.9,3.6,14.0,10.0,28783,8.6,10362,27.3,16.4,35.6,52.0
11426,0.0,41.4,4.9,0.4,42.2,0.0,8.1,3.0,20.5,30.3,37346,8.8,6690,32.0,26.7,25.3,52.0
11428,0.0,22.8,19.0,0.1,25.7,0.6,19.8,11.9,24.8,12.8,31648,7.9,6010,10.1,25.3,52.2,77.5
11432,16.67,22.1,15.6,0.5,40.9,0.2,16.3,4.4,25.7,12.6,23704,17.7,19948,16.7,16.5,29.8,46.3
11435,0.0,19.3,23.7,0.2,23.8,0.0,28.3,4.7,30.6,11.9,26952,16.4,19719,23.6,17.8,26.2,44.0
11501,14.35,74.0,2.5,0.0,11.0,0.0,10.6,2.0,18.9,66.9,44398,5.3,7721,34.7,13.5,25.6,39.1
11507,0.0,59.7,1.2,1.2,36.1,0.0,0.6,1.2,6.9,54.6,45678,3.7,2478,40.8,10.8,7.2,18.0
11509,0.0,96.2,1.0,0.2,1.5,0.0,0.0,1.2,2.8,93.8,58083,1.9,1302,29.2,8.2,20.0,28.2
11510,25.0,51.6,31.5,0.1,3.9,0.1,6.5,6.4,23.4,40.8,44134,6.2,11306,22.8,15.0,35.9,50.9
11514,0.0,74.7,1.4,0.0,12.5,0.0,5.4,6.0,18.7,66.0,41375,5.1,1775,41.9,23.9,5.9,29.8
11516,5.0,82.8,0.0,0.0,0.6,0.0,16.3,0.3,18.0,81.2,38058,4.7,2296,22.7,8.6,40.1,48.7
11518,0.0,91.7,0.6,0.4,4.2,0.0,1.7,1.4,15.3,79.7,44679,3.7,4254,27.8,7.9,41.2,49.1
11520,30.77,40.8,31.2,1.3,1.0,0.0,9.7,15.9,43.2,23.8,30068,12.5,14434,30.3,7.4,34.3,41.7
11530,5.0,91.1,2.2,0.0,2.9,0.0,2.2,1.6,5.7,87.6,58597,3.0,9606,34.8,13.9,38.8,52.7
11542,10.475,63.0,8.0,0.8,3.9,0.0,20.5,3.8,26.9,55.9,31482,12.3,10501,29.3,8.5,21.0,29.5
11545,0.0,84.6,2.2,0.0,7.3,0.0,3.9,2.1,7.6,80.6,58986,2.4,4615,27.3,6.7,21.6,28.3
11548,0.6490909090909089,60.2,7.2,0.0,23.0,0.0,5.3,4.3,10.8,55.7,16458,3.9,551,31.8,7.8,21.1,28.9
11552,4.555,57.2,23.1,0.0,6.9,0.0,7.9,5.0,18.9,48.1,37320,5.4,7611,35.7,20.8,19.2,40.0
11553,12.636666666666665,25.6,43.9,0.9,2.1,0.0,14.4,13.1,40.7,10.9,25920,12.3,6699,38.8,26.3,15.4,41.7
11554,2.3000000000000003,74.0,5.6,0.4,11.0,0.0,6.2,2.8,14.5,67.5,37140,4.6,12872,55.0,9.0,6.0,15.0
